Support,text
1,**everyone screaming that were gonna die in 12 years because of climate change** Me: https://t.co/Y26UEZA5Uf
0,@colin_ban88 @starryplough67 @doc53384809 I said I took science Im not listening to some paid news anchor. Govern https://t.co/KfRsSUuMq6
1,@Darryl0007 @KTHopkins Hard man but you won't think it bullsh*t when the global warming sh*t really hits the fan. B https://t.co/MVMZfZhWtp
1,@eilperin @Fahrenthold @afreedma @jdawsey1 I hope the other countries boycott - protesting the omission of climate change.
1,@EliasCrimLaw @olcarcajou @FairQuestions @eliasmunshya @JustinTrudeau We are considered to have the worst environme https://t.co/v9vowy5Lts
0,@Fahrenthold And Mulvaney said that climate change will NOT be on list of topics to discuss.
0,@FormerSenior @QandA @SBSNews Maybe stop lying. Climate change wasn't even mentioned at the election. It was a fr https://t.co/MQGM0hHxX3
0,@GrantMcroberts Basically people who want us to do something about climate change. As someone who does their bit fo https://t.co/FNW8ysSSzr
0,@horsetoilets @LouiseStephen9 @drandyphung But the climate change folks say the science is settled based on consens https://t.co/lTWfxud1Bj
1,@JGunlock @steph93065 Take them very seriously. 48 percent of humans worldwide believe that global warming will cause human extinction.
0,@kentlivenews Bet @GretaThunberg will be pissed that climate change is bollocks
0,@KTHopkins @DoringHaak These climate change freaks dont care if they disrupt everybodys lives as long as they get https://t.co/x63KMFV0AB
0,@MarkYoungTruth I feel like this kid is a climate change android ! ! ! Does she have warm blood going thru her veins?
0,@postpolitics Why should I believe a young girl with aspergers over an expert in climate change? Not even being mea https://t.co/1IDcdJbSid
1,@RichLowry @RichLowry you are obviously not very smart. Some 16-year olds have the capacity to think for themselv https://t.co/5TX1LuVjYs
0,@TheOfficerTatum @Just_Fargo Can anyone PLEASE show me a source of someone anyone dying as a direct result of climate change??
1,@ukmav @hilltopgina @elliethebookgal Yet he contributes to climate change more than anyone....
0,[Lauren Chen (uploads) on YouTube] AOC CRIES Over Having Kids Because Of Climate Change?? https://t.co/ihxoJka93N
1,| Tell Congress: Take Action to Against Climate Change https://t.co/HMTkgU9p52
1,A new U.N. report predicts more powerful storms increased risk of flooding and dwindling fisheries if greenhouse-g https://t.co/EIE3PNK5Aq
0,Alberta truck convoy plans counter-protest to climate rally with Greta Thunberg https://t.co/aUPELJZcW5 https://t.co/M3SpGBWRB0
1,Antarctica latest: Scientists to drill THREE KILOMETRES into Antarctic time capsule - https://t.co/C0vyNH0x0z https://t.co/GOR3ucKn6P
1,Anyone who includes CO2 is plant food and more CO2 causes more plants (or something to that effect) in their arg https://t.co/twR5akjKSO
